APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_o_w,APPVAL_RECS_bert-x_o_w,FOA_RECS_bert-x_o_w
9150566,m,w,"9254611,9709325,9901569,9901621,9116546","437500.0,430500.0,430500.0,430500.0,458500.0","RFA-HG-14-004,RFA-HG-14-004,RFA-HG-14-004,RFA-HG-14-004,RFA-HG-14-004"
10478136,m,w,"8144938,8144939,7938718,8150047,7943167","1800000.0,1750000.0,1800000.0,1800000.0,1825000.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
10343347,m,w,"10625687,10625576,10625686,10625172,10625173","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AI-22-001,RFA-AI-22-001,RFA-AI-22-001,RFA-AI-22-001,RFA-AI-22-001"
8309064,f,w,"8849116,9514733,9514726,9514736,9514752","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"7934641,7937885,8489508,8206009,8317624","324000.0,324000.0,308250.0,315000.0,308250.0","RFA-MH-09-161,RFA-MH-09-161,RFA-MH-09-161,RFA-MH-09-161,RFA-MH-09-161"
10116708,f,w,"7690929,8307828,8115913,7903988,7910620","365000.0,342500.0,350000.0,360000.0,360000.0","RFA-HL-08-002,RFA-HL-08-002,RFA-HL-08-002,RFA-HL-08-002,RFA-HL-08-002"
9080334,m,w,"8187076,8475567,8306120,8314023,8380066","560000.0,540000.0,548000.0,548000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"8360499,7891994,8167653,8167650,7846874","280000.0,292000.0,288000.0,288000.0,288000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
9114017,m,h,"9471335,10149231,10131127,10131128,10131129","625000.0,580000.0,580000.0,580000.0,580000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"9103500,8707391,8012924,8153629,8153636","3098900.0,3098900.0,3355200.0,3355200.0,3355200.0","RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002"
8468754,f,w,"9320021,8725226,9128040,8489410,8885883","1187500.0,1263500.0,1244500.0,1282500.0,1263500.0","RFA-HL-13-011,RFA-HL-13-011,RFA-HL-13-011,RFA-HL-13-011,RFA-HL-13-011"
7737637,m,w,"8822937,8307769,8209570,8448656,8641735","1330000.0,1370000.0,1400000.0,1350000.0,1330000.0","RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020"
8664703,m,w,"8088118,8074473,8490538,8490541,8490539","3266666.2,3266666.2,3149999.5500000003,3149999.5500000003,3149999.5500000003","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"8128558,8330845,8380037,8380043,7938904","1440000.0,1370000.0,1370000.0,1370000.0,1460000.0","RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002"
8130689,m,w,"8119026,7905615,8534173,8534175,8534178","2880000.0,2920000.0,2700000.0,2700000.0,2700000.0","RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009"
10495240,m,w,"9923712,9755115,10145058,10127682,10048321","246000.0,246000.0,232000.0,232000.0,246000.0","RFA-HD-19-018,RFA-HD-19-018,RFA-HD-20-020,RFA-HD-20-020,RFA-HD-20-020"
9787108,m,w,"10701771,10514064,10433227,9970999,10259828","515000.0,535000.0,232000.0,246000.0,232000.0","RFA-AG-22-019,RFA-AG-22-019,RFA-AG-20-014,RFA-AG-20-014,RFA-AG-20-014"
8036022,m,w,"10576343,10361516,9950456,10126805,10458553","772500.0,802500.0,922500.0,869999.9999999999,428000.0","RFA-AI-19-011,RFA-AI-19-011,RFA-AI-19-011,RFA-AI-19-011,RFA-AI-20-004"
