APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_r_w,APPVAL_RECS_biomedbert_r_w,FOA_RECS_biomedbert_r_w
7691839,f,w,"8290541,8020799,8537085,8150476,8150462","479500.00000000006,504000.0,479500.00000000006,490000.0,490000.0","RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020"
7914250,m,w,"7900503,7687473,7687500,7687347,7687483","288000.0,292000.0,292000.0,292000.0,292000.0","RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010"
8903741,f,w,"7694378,7881980,8127697,7919509,7651392","730000.0,730000.0,700000.0,720000.0,1460000.0","RFA-AA-07-010,RFA-AA-07-010,RFA-AA-07-010,RFA-AA-07-010,RFA-AA-06-007"
10207339,m,a,"10310697,10075862,10534685,10534684,10534683","1284000.0,1392000.0,1236000.0,1236000.0,1236000.0","RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003"
10302868,f,w,"8370150,8368840,8367812,8370230,8518215","68500.0,68500.0,68500.0,68500.0,67500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
8070452,m,w,"10620820,10429916,10148628,10148627,10148626","257500.0,267500.0,290000.0,290000.0,290000.0","RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002"
9551105,m,w,"10490439,10283244,8936252,9085428,9085433","321000.0,348000.0,332500.0,327500.0,327500.0","RFA-NS-21-002,RFA-NS-21-002,RFA-NS-14-011,RFA-NS-14-011,RFA-NS-14-011"
10223141,f,w,"10602737,10469111,10459661,10459662,10459871","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013"
10573185,m,w,"8433150,8433134,8433149,8432962,8433122","675000.0,675000.0,685000.0,685000.0,685000.0","RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004"
9257399,f,w,"10660986,10414019,10178021,10173778,10173777","1545000.0,1545000.0,1739999.9999999998,1739999.9999999998,1739999.9999999998","RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011"
8518235,f,w,"9600078,9242960,9245832,9245783,9244245","246000.0,250000.0,250000.0,250000.0,250000.0","RFA-AI-16-006,RFA-AI-16-006,RFA-AI-16-006,RFA-AI-16-006,RFA-AI-16-006"
8318381,m,w,"9957191,10219339,9384724,9723180,9555026","330255.0,311460.0,335625.0,330255.0,335625.0","RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014"
9071539,m,w,"8898256,8411862,8412385,8411811,8412332","1330000.0,1370000.0,1370000.0,1370000.0,1370000.0","RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006"
8120588,m,w,"8538651,8121990,8305553,8304912,8712608","9761250.0,10260000.0,9761250.0,9761250.0,9618750.0","RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006"
9548127,m,w,"9548126,9998678,9748883,9748884,9748885","1000000.0,984000.0,984000.0,984000.0,984000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"7685279,7861203,7991555,7675389,7675391","511000.0,511000.0,504000.0,511000.0,511000.0","RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014"
