APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_wi,APPVAL_RECS_bert-base(para)_r_wi,FOA_RECS_bert-base(para)_r_wi
10744343,f,a,"8845185,8828159,8792844,8719655,8722068","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006"
10116708,f,w,"7589964,8072304,7920516,8242875,8245210","1131500.0,1116000.0,1131500.0,1061750.0,1061750.0","RFA-DK-07-504,RFA-DK-07-504,RFA-DK-07-504,RFA-DK-07-504,RFA-DK-07-504"
9080334,m,w,"8187077,8380605,8532644,8475561,8725470","560000.0,548000.0,540000.0,540000.0,532000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"7770893,7591224,7581016,7688166,7574579","180000.0,182500.0,182500.0,182500.0,182500.0","RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004"
9114017,m,h,"8509336,9008222,8510507,9040078,9039523","405000.0,399000.0,405000.0,393000.0,393000.0","RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020"
8380038,m,w,"7643588,8264372,8051860,8325926,8240988","730000.0,685000.0,700000.0,685000.0,685000.0","RFA-EB-08-003,RFA-EB-08-003,RFA-EB-08-003,RFA-EB-08-003,RFA-EB-08-003"
8468754,f,w,"9245732,8825531,8604915,9022512,8822523","3000000.0,3192000.0,3192000.0,3144000.0,455179.2","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-14-021"
7737637,m,w,"8278665,8500161,8478035,8471051,8464625","205500.00000000003,202500.0,202500.0,202500.0,202500.0","RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024"
8664703,m,w,"7793775,8173762,8917648,8847866,8847493","3406666.18,3359999.52,3103332.89,3103332.89,3103332.89","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"7938902,8380048,7684808,7938906,7938904","1460000.0,1370000.0,1460000.0,1460000.0,1460000.0","RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002"
8130689,m,w,"7928795,7932428,7681554,7658832,7939044","1440000.0,1460000.0,1460000.0,365000.0,365000.0","RFA-GM-06-003,RFA-GM-06-003,RFA-GM-06-003,RFA-RM-07-003,RFA-RM-07-003"
10495240,m,w,"8329146,8486383,8644944,9522180,9717214","685000.0,675000.0,665000.0,281250.0,276750.0","RFA-MH-12-060,RFA-MH-12-060,RFA-MH-12-060,RFA-MH-17-361,RFA-MH-17-361"
9787108,m,w,"8367889,8369767,9145617,9001684,9143829","274000.0,274000.0,327500.0,332500.0,332500.0","RFA-AG-12-008,RFA-AG-12-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
8036022,m,w,"9767005,9736615,9380898,9380900,9380826","246000.0,246000.0,250000.0,250000.0,250000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
10359813,m,w,"8327261,7765709,8489823,8330289,8268506","548000.0,584000.0,548000.0,548000.0,548000.0","RFA-MH-09-100,RFA-MH-09-100,RFA-MH-09-100,RFA-MH-09-100,RFA-MH-09-100"
9753241,m,w,"8928012,9550854,9331355,9096942,9132048","532000.0,500000.0,500000.0,540000.0,524000.0","RFA-OH-13-001,RFA-OH-13-001,RFA-OH-13-001,RFA-OH-13-001,RFA-OH-13-001"
8659443,m,w,"8514609,8335406,8229848,8229227,8514610","270000.0,274000.0,280000.0,280000.0,270000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9706081,f,a,"10681389,10675686,10669855,10302989,10302137","1030000.0,1030000.0,1070000.0,1160000.0,1160000.0","RFA-AG-21-025,RFA-AG-21-025,RFA-AG-21-025,RFA-AG-21-025,RFA-AG-21-025"
8698446,m,w,"9533890,9747330,9324029,9114642,8951512","336250.0,330870.0,336250.0,352390.0,357770.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"10740364,10631646,10630593,10707213,9030944","515000.0,515000.0,535000.0,515000.0,327500.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-13-006"
9527838,m,w,"7688697,7934877,7915257,8138609,7894937","365000.0,365000.0,360000.0,350000.0,576000.0","RFA-RM-07-011,RFA-RM-07-011,RFA-RM-07-011,RFA-RM-07-011,RFA-RM-07-012"
9994751,m,w,"7667758,7658743,7921151,7880319,7938434","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
10216205,m,w,"8325038,8078440,8155178,8326059,8338848","274000.0,280000.0,280000.0,274000.0,274000.0","RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001"
9355575,m,w,"9565524,9335327,9368956,9337096,9347270","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10661785,10476566,10476517,10476511,10476508","412000.0,428000.0,428000.0,428000.0,428000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
8132845,m,w,"9100731,8639741,9120848,8639766,8640299","327500.0,337500.0,327500.0,337500.0,337500.0","RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007"
9561922,m,w,"9517828,9120568,9120622,9120641,9428504","1250000.0,1310000.0,1310000.0,1310000.0,1250000.0","RFA-DA-16-003,RFA-DA-16-003,RFA-DA-16-003,RFA-DA-16-003,RFA-DA-16-003"
8710052,m,w,"7692251,7695547,8065747,8138014,8711357","1095000.0,1095000.0,1080000.0,4480000.0,4256000.0","RFA-CA-08-003,RFA-CA-08-003,RFA-CA-08-003,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"9070675,8757453,8925885,8913969,9778989","196500.0,199500.0,199500.0,199500.0,187500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
9552433,m,b,"8576226,8738707,9084924,9749887,9552433","1350000.0,1330000.0,1330000.0,1250000.0,1250000.0","RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006"
8907762,m,h,"7912360,7899346,8133541,8699880,8534103","1131500.0,1131500.0,490000.0,472500.00000000006,472500.00000000006","RFA-RR-05-003,RFA-RR-05-003,RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010"
7691839,f,w,"8533716,7696442,8112678,7914248,7915505","342500.0,365000.0,350000.0,360000.0,288000.0","RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-027"
7914250,m,w,"9130492,8712343,8009669,8134128,8134127","1463000.0,1463000.0,1584000.0,1584000.0,1584000.0","RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041"
8903741,f,w,"7924910,7901642,7936516,7629810,7651392","1095000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-AA-06-006,RFA-AA-06-007,RFA-AA-06-007,RFA-AA-06-007,RFA-AA-06-007"
10207339,m,a,"9206212,9346645,10380064,9923509,10003103","262000.0,250000.0,214000.0,246000.0,246000.0","RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002"
10302868,f,w,"8917844,8755133,8919213,8917845,8917846","99750.0,99750.0,99750.0,99750.0,99750.0","RFA-AG-14-010,RFA-AG-14-010,RFA-AG-14-010,RFA-AG-14-010,RFA-AG-14-010"
8070452,m,w,"7686495,7687684,7687207,7668889,7686497","657000.0,657000.0,657000.0,657000.0,657000.0","RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010"
9551105,m,w,"9693329,9505993,9724563,9724565,9537709","492000.0,500000.0,492000.0,492000.0,500000.0","RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004"
10223141,f,w,"9283606,8848098,9057601,8728687,8729082","937500.0,997500.0,982500.0,997500.0,997500.0","RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026"
10573185,m,w,"9440573,9655324,9774047,9756578,9455720","468750.0,461250.0,461250.0,468750.0,468750.0","RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013"
9257399,f,w,"9024533,9440573,9980397,9774047,9756578","491250.0,468750.0,461250.0,461250.0,468750.0","RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013"
8518235,f,w,"10690530,10535173,10673150,10664031,10534922","206000.0,214000.0,206000.0,206000.0,214000.0","RFA-AI-21-041,RFA-AI-21-041,RFA-AI-21-041,RFA-AI-21-041,RFA-AI-21-041"
8318381,m,w,"9752191,10143276,10402886,10441274,9929633","1230000.0,1160000.0,1070000.0,1070000.0,1230000.0","RFA-HL-19-017,RFA-HL-19-017,RFA-HL-19-017,RFA-HL-19-017,RFA-HL-19-017"
9071539,m,w,"10470432,10483185,9812105,9975112,9133333","754000.0,695500.0,799500.0,799500.0,982500.0","RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-11-015"
8120588,m,w,"8120253,8076817,8472507,7749603,7747793","700000.0,700000.0,675000.0,730000.0,730000.0","RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010"
9548127,m,w,"8734262,8382141,8918313,8917063,8883212","997500.0,1027500.0,997500.0,997500.0,997500.0","RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022"
7858033,m,w,"10708941,10581922,7648226,7858170,7858036","206000.0,214000.0,1387000.0,1387000.0,1387000.0","RFA-DK-21-018,RFA-DK-21-018,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003"
7691735,f,w,"8472507,7917439,8288028,8288029,8298572","675000.0,720000.0,685000.0,685000.0,685000.0","RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010"
