APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_w,APPVAL_RECS_bert-base(para)_r_w,FOA_RECS_bert-base(para)_r_w
8339880,m,w,"8566312,8565991,8724343,8725571,8565628","270000.0,270000.0,266000.0,266000.0,270000.0","RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003"
9592088,m,a,"9929918,10020393,8335387,8335417,8233772","615000.0,615000.0,616500.0,616500.0,630000.0","RFA-DK-19-501,RFA-DK-19-501,RFA-DK-10-011,RFA-DK-10-011,RFA-DK-10-011"
10008967,m,w,"9067244,9320708,9320709,9320707,9320704","1310000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9491912,9961457,9565687,10177830,9320071","937500.0,922500.0,937500.0,869999.9999999999,937500.0","RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"9318534,9537514,9526492,9526491,9518900","1562500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"9477549,9064136,9064758,9268729,9268733","250000.0,262000.0,262000.0,250000.0,250000.0","RFA-DK-13-010,RFA-DK-13-010,RFA-DK-13-010,RFA-DK-13-010,RFA-DK-13-010"
7959773,f,w,"8713327,8711698,9117803,8360283,8360681","299250.0,299250.0,294750.0,280000.0,280000.0","RFA-AT-14-001,RFA-AT-14-001,RFA-AT-16-003,RFA-RR-06-002,RFA-RR-06-002"
8769602,m,a,"10413034,9927973,10165449,9753104,9597601","749000.0,861000.0,812000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"10217030,10091323,10250532,10213689,10684692","261000.0,276750.0,580000.0,580000.0,515000.0","RFA-MH-20-521,RFA-MH-20-521,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520"
9987453,f,w,"9152898,9154487,9334045,9320966,9344529","262000.0,262000.0,250000.0,250000.0,250000.0","RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013"
9525273,m,w,"8410439,8518235,8870288,8856127,8868913","205500.00000000003,202500.0,199500.0,199500.0,199500.0","RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018"
10541697,m,h,"10731789,10731905,10399721,10515459,10598626","206000.0,206000.0,214000.0,214000.0,206000.0","RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001"
8856535,m,w,"9672532,9468348,9468343,9462624,9468349","1845000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004"
7886873,m,w,"10374018,9748978,9748976,9748974,9748973","1284000.0,1476000.0,1476000.0,1476000.0,1476000.0","RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008"
10488630,f,a,"8758050,9932272,9001630,9001462,9001756","332500.0,615000.0,665000.0,665000.0,665000.0","RFA-AG-14-012,RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018"
