APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_p_w,APPVAL_RECS_bert-xxxxx_p_w,FOA_RECS_bert-xxxxx_p_w
8609021,m,w,"9517023,9951035,9173599,9316605,9697814","562500.0,553500.0,589500.0,562500.0,553500.0","RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
9997843,f,b,"8844139,9131459,9690737,9124887,9102130","465500.0,465500.0,2767500.0,2947500.0,2947500.0","RFA-FD-14-008,RFA-FD-14-008,RFA-GM-15-001,RFA-GM-15-001,RFA-GM-15-001"
8101323,m,w,"10701846,10599641,10372315,10454243,9969342","309000.0,321000.0,348000.0,321000.0,615000.0","RFA-FD-22-016,RFA-FD-22-016,RFA-FD-21-012,RFA-FD-21-012,RFA-FD-19-002"
10335254,m,w,"9291402,9146268,8996081,8605677,8606033","375000.0,393000.0,399000.0,266000.0,266000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-ES-12-009,RFA-ES-12-009"
8449135,f,w,"9001630,9001462,9001756,9512632,9699998","665000.0,665000.0,665000.0,625000.0,615000.0","RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018"
10214645,f,w,"9346002,9691088,9156542,9546463,9926797","156250.0,153750.0,163750.0,156250.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
9502960,m,w,"9691088,9546463,9346002,9156542,9926797","153750.0,156250.0,156250.0,163750.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
8478285,m,w,"8758050,10645746,10645964,10645467,10645719","332500.0,515000.0,515000.0,515000.0,515000.0","RFA-AG-14-012,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009"
8101282,m,w,"9421907,9928385,9695908,9565384,9934108","437500.0,430500.0,430500.0,437500.0,430500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AI-16-053"
7688641,f,w,"8698651,8339363,8519139,8258577,9130634","465500.0,479500.00000000006,472500.00000000006,490000.0,458500.0","RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007"
7847889,f,w,"9428958,9236185,9665258,9117092,9644908","312500.0,312500.0,307500.0,327500.0,307500.0","RFA-DE-16-004,RFA-DE-16-004,RFA-DE-16-004,RFA-DE-16-004,RFA-DE-16-004"
9986710,m,w,"9922215,10407966,9645993,9644737,9646134","615000.0,535000.0,625000.0,625000.0,625000.0","RFA-AG-18-023,RFA-AG-18-023,RFA-AG-18-023,RFA-AG-18-023,RFA-AG-18-023"
8440304,m,w,"9096228,8629807,8481607,8440304,8732205","655000.0,665000.0,675000.0,675000.0,675000.0","RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003"
9935065,m,w,"10491848,10372447,10670680,8758050,10432056","267500.0,290000.0,257500.0,332500.0,3531000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-AG-14-012,RFA-AG-18-021"
8486416,f,w,"10457740,10459080,10091112,10213065,9854277","274540.60000000003,274540.60000000003,1230000.0,1160000.0,246000.0","RFA-HD-22-010,RFA-HD-22-010,RFA-FD-20-004,RFA-FD-20-004,RFA-OD-19-012"
8907054,f,w,"9951035,9517023,9173599,9316605,9697814","553500.0,562500.0,589500.0,562500.0,553500.0","RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
