APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_o_w,APPVAL_RECS_bert-xxxxx_o_w,FOA_RECS_bert-xxxxx_o_w
9902829,m,w,"9927577,8892715,9266292,9266291,9266294","20295000.0,21945000.0,20625000.0,20625000.0,20625000.0","RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016"
9889814,f,w,"10331062,10163704,10163701,10163700,10403543","535000.0,580000.0,580000.0,580000.0,535000.0","RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006"
8235263,m,w,"7900773,7665566,7668069,7858135,7923540","292000.0,292000.0,292000.0,360000.0,365000.0","RFA-HG-06-016,RFA-HG-06-016,RFA-HG-06-016,RFA-HG-07-016,RFA-HG-07-016"
10168518,m,w,"9114676,9115050,9133114,9114138,9335243","1637500.0,1637500.0,1637500.0,1637500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
8032676,f,w,"10759550,10759735,10760002,7821436,7621055","284038.98,284038.98,284038.98,720000.0,730000.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-DE-07-006,RFA-DE-07-006"
7941766,m,b,"8922059,8789627,9137719,10197769,10057011","299250.0,299250.0,281250.0,261000.0,276750.0","RFA-MH-14-212,RFA-MH-14-212,RFA-MH-14-212,RFA-MH-20-100,RFA-MH-20-100"
7622953,f,w,"8795892,9119098,8927055,9324348,9536881","266000.0,262000.0,266000.0,250000.0,250000.0","RFA-HL-14-027,RFA-HL-14-027,RFA-HL-14-027,RFA-HL-14-027,RFA-HL-14-027"
8963948,m,w,"8520044,8520036,8383590,8383589,8130850","945000.0,945000.0,980000.0,980000.0,980000.0","RFA-ES-09-004,RFA-ES-09-004,RFA-ES-09-004,RFA-ES-09-004,RFA-ES-09-004"
8379430,m,h,"7610888,7614363,7614361,7802116,7799869","262800.0,262800.0,262800.0,259200.0,259200.0","RFA-HD-04-010,RFA-HD-04-010,RFA-HD-04-010,RFA-HD-04-010,RFA-HD-04-010"
8287483,m,w,"7577380,7862321,7624167,7624178,7615583","365000.0,360000.0,365000.0,365000.0,365000.0","RFA-HL-07-009,RFA-HL-07-009,RFA-HL-07-009,RFA-HL-07-009,RFA-HL-07-009"
9279023,f,w,"8920700,8929105,9091395,8929122,9525244","66500.0,66500.0,65500.0,66500.0,62500.0","RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004"
8132756,m,w,"8382374,8382376,10140369,10212408,10173819","2260500.0,2260500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-RM-10-003,RFA-RM-10-003,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002"
8874833,m,w,"7901503,7805577,7918923,7900589,7661516","288000.0,288000.0,288000.0,288000.0,292000.0","RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042"
8131755,m,w,"7777536,7691720,8887351,8575382,8867258","1752000.0,1752000.0,166250.0,168750.0,166250.0","RFA-RM-06-007,RFA-RM-06-007,RFA-GM-13-010,RFA-GM-13-010,RFA-GM-13-010"
9136242,f,w,"9003024,9507759,9081471,8705776,9229518","655000.0,625000.0,655000.0,665000.0,625000.0","RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042"
10492727,f,w,"9753104,10165449,9927973,10413034,9597601","861000.0,812000.0,861000.0,749000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
7656760,m,b,"7797631,8121471,8067056,7656766,7656760","50400.0,49000.0,49000.0,51100.0,51100.0","RFA-HD-06-018,RFA-HD-06-018,RFA-HD-06-018,RFA-HD-06-018,RFA-HD-06-018"
7925612,f,w,"10694882,10482341,10493244,10493227,10295518","1184500.0,1230500.0,1230500.0,1230500.0,1334000.0","RFA-NS-21-003,RFA-NS-21-003,RFA-NS-21-003,RFA-NS-21-003,RFA-NS-21-003"
7798639,m,w,"8639683,9392190,9391987,9390753,9398910","332500.0,312500.0,312500.0,312500.0,312500.0","RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002"
9784662,m,w,"9414391,9558641,9413012,9558600,10706583","4125000.0,4125000.0,4125000.0,4125000.0,1030000.0","RFA-AG-17-057,RFA-AG-17-057,RFA-AG-17-057,RFA-AG-17-057,RFA-AG-22-030"
8525498,m,w,"7759425,7759549,7912856,7886480,7892935","584000.0,584000.0,576000.0,576000.0,576000.0","RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120"
7691731,m,w,"10829621,8301297,8461989,8098360,8098463","515000.0,490000.0,472500.00000000006,490000.0,490000.0","RFA-HS-23-011,RFA-HS-10-018,RFA-HS-10-018,RFA-HS-10-018,RFA-HS-10-018"
9142858,f,a,"7673736,7683038,7617895,7672271,8105084","365000.0,365000.0,365000.0,365000.0,1680000.0","RFA-AI-05-028,RFA-AI-05-028,RFA-AI-05-028,RFA-AI-05-028,RFA-AI-09-030"
9524992,f,w,"8414961,8516140,8414504,8415397,8415401","342500.0,337500.0,342500.0,342500.0,342500.0","RFA-RM-12-001,RFA-RM-12-001,RFA-RM-12-001,RFA-RM-12-001,RFA-RM-12-001"
9969524,m,w,"8877868,9069905,8876183,8877775,8877784","199500.0,196500.0,199500.0,199500.0,199500.0","RFA-RM-14-005,RFA-RM-14-005,RFA-RM-14-005,RFA-RM-14-005,RFA-RM-14-005"
9967457,m,a,"9126574,8919827,8918703,8384740,8385088","786000.0,798000.0,798000.0,822000.0000000001,822000.0000000001","RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208"
7813726,m,a,"10234201,10366763,10557164,10054488,10722847","406000.0,374500.0,360500.0,430500.0,360500.0","RFA-HL-20-027,RFA-HL-20-027,RFA-HL-20-027,RFA-HL-20-027,RFA-HL-20-023"
9532407,f,w,"9939867,10445251,10692573,10689726,10689720","670350.0,583150.0,561350.0,561350.0,561350.0","RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002"
7903332,f,w,"7911670,8117633,8117635,8117637,8117638","2190000.0,2160000.0,2160000.0,2160000.0,2160000.0","RFA-HD-06-016,RFA-HD-06-016,RFA-HD-06-016,RFA-HD-06-016,RFA-HD-06-016"
8147751,m,w,"7884853,7883974,7884725,7935378,7935390","182500.0,182500.0,182500.0,180000.0,180000.0","RFA-MD-09-008,RFA-MD-09-008,RFA-MD-09-008,RFA-MD-09-008,RFA-MD-09-008"
8048337,m,w,"7884853,7883974,7884725,7935378,7935390","182500.0,182500.0,182500.0,180000.0,180000.0","RFA-MD-09-008,RFA-MD-09-008,RFA-MD-09-008,RFA-MD-09-008,RFA-MD-09-008"
8712128,m,h,"8934089,9569595,9787466,9145187,8786631","5320000.0,5000000.0,4920000.0,5000000.0,5320000.0","RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006"
7945336,m,w,"9903404,9078754,9077988,9078827,9076666","246000.0,262000.0,262000.0,262000.0,262000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
10632067,m,w,"9040336,9729749,9729751,9729752,9729753","997500.0,922500.0,922500.0,922500.0,922500.0","RFA-HD-15-010,RFA-HD-15-010,RFA-HD-15-010,RFA-HD-15-010,RFA-HD-15-010"
8036065,f,w,"8792948,9119054,9536880,8930466,9317526","199500.0,196500.0,187500.0,199500.0,187500.0","RFA-HL-14-020,RFA-HL-14-020,RFA-HL-14-020,RFA-HL-14-020,RFA-HL-14-020"
8208878,f,h,"9978087,9540496,9735446,9705804,10169501","615000.0,625000.0,615000.0,615000.0,580000.0","RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007"
8377545,f,w,"10153840,10613376,10137284,10615596,10615595","1392000.0,1236000.0,1392000.0,1236000.0,1236000.0","RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017"
9069538,m,w,"7658832,7686303,7921151,7880319,7938434","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
7943076,m,w,"8032920,8037313,8037445,8447834,8464506","648000.0,648000.0,648000.0,616500.0,1370000.0","RFA-OD-10-008,RFA-OD-10-008,RFA-OD-10-008,RFA-OD-10-008,RFA-OD-12-003"
8263981,f,w,"9137719,8789627,8922059,8634875,7741904","281250.0,299250.0,299250.0,270000.0,328500.0","RFA-MH-14-212,RFA-MH-14-212,RFA-MH-14-212,RFA-MH-13-140,RFA-MH-08-011"
9930180,m,w,"8295406,8551301,8288421,8545296,8295046","1370000.0,1350000.0,1370000.0,1370000.0,1370000.0","RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011"
9320714,f,w,"7713471,7713292,7713208,7941943,7941948","292000.0,292000.0,292000.0,288000.0,288000.0","RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004"
