APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_p_wi,APPVAL_RECS_bert-base(para)_p_wi,FOA_RECS_bert-base(para)_p_wi
8769602,m,a,"9597601,9753104,10165449,9927973,10413034","875000.0,861000.0,812000.0,861000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"7623192,8454664,9098668,9292274,8688978","219000.0,205500.00000000003,655000.0,625000.0,665000.0","RFA-DA-06-001,RFA-DA-06-001,RFA-DA-13-009,RFA-DA-13-009,RFA-DA-13-009"
9987453,f,w,"9753104,10413034,9927973,10165449,9597601","861000.0,749000.0,861000.0,812000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9525273,m,w,"8705846,9038249,9263887,8843779,8890101","199500.0,196500.0,187500.0,199500.0,199500.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-11-018"
10541697,m,h,"9608514,9609947,9564973,9564206,9741540","375000.0,375000.0,375000.0,375000.0,369000.0","RFA-MH-18-500,RFA-MH-18-500,RFA-MH-17-260,RFA-MH-17-260,RFA-MH-17-260"
8856535,m,w,"8874104,8885651,8882257,8766909,8768636","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038"
7886873,m,w,"9605464,9748972,9748978,9748977,9748976","1500000.0,1476000.0,1476000.0,1476000.0,1476000.0","RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008"
10488630,f,a,"9738418,9738277,9732844,9734842,9737038","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003"
9137625,f,w,"9554598,9477238,9478418,9478462,9479506","375000.0,375000.0,375000.0,375000.0,375000.0","RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010"
8085924,m,w,"9193112,9309081,9403941,9655241,9928745","524000.0,500000.0,437500.0,430500.0,430500.0","RFA-MD-15-011,RFA-MD-15-011,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
9485284,m,w,"8020799,8290541,8310258,8537085,8150476","504000.0,479500.00000000006,479500.00000000006,479500.00000000006,490000.0","RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020"
