APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_o_wi,APPVAL_RECS_bert-base(para)_o_wi,FOA_RECS_bert-base(para)_o_wi
9753241,m,w,"8130845,8130851,8130835,8130848,8130826","980000.0,980000.0,980000.0,980000.0,980000.0","RFA-ES-09-004,RFA-ES-09-004,RFA-ES-09-004,RFA-ES-09-004,RFA-ES-09-004"
8659443,m,w,"9735922,9260366,9257895,9257610,9256998","2187500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9706081,f,a,"9548544,10250342,10402548,10402550,9390014","4375000.0,4060000.0,4060000.0,4060000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8698446,m,w,"7768179,8698446,7768331,8502314,8501646","781100.0,711550.0,781100.0,722250.0,722250.0","RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003"
9571058,m,h,"8876120,8875343,8876086,7648226,8078093","266000.0,266000.0,266000.0,1387000.0,1368000.0","RFA-MD-14-003,RFA-MD-14-003,RFA-MD-14-003,RFA-MD-06-003,RFA-MD-06-003"
9527838,m,w,"10708819,10485672,10707371,10704741,10695095","721000.0,749000.0,721000.0,721000.0,721000.0","RFA-RM-21-015,RFA-RM-21-015,RFA-RM-21-015,RFA-RM-21-015,RFA-RM-21-015"
9994751,m,w,"10141251,9690134,9690772,9690762,9690761","869999.9999999999,922500.0,922500.0,922500.0,922500.0","RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002"
10216205,m,w,"9921121,10076809,10650136,10322715,10228875","461250.0,435000.0,386250.0,401250.0,461250.0","RFA-CA-19-044,RFA-CA-19-044,RFA-CA-19-044,RFA-CA-19-044,RFA-CA-19-044"
9355575,m,w,"9347271,9193833,9567935,9567510,9567936","250000.0,262000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10476567,10289787,10289785,10289784,10285670","428000.0,464000.0,464000.0,464000.0,464000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
8132845,m,w,"9568050,9723226,9433161,9432736,9432851","375000.0,369000.0,375000.0,375000.0,375000.0","RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011"
9561922,m,w,"8307817,8109216,7842432,7839761,7841512","685000.0,700000.0,730000.0,730000.0,730000.0","RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001"
8710052,m,w,"8379356,7983111,7982610,7982613,7982614","4384000.0,4608000.0,4608000.0,4608000.0,4608000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"9904675,9707162,9520118,9257604,9257881","2152500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9552433,m,b,"9119535,8914169,8391950,8919722,8784175","1205200.0,1223600.0,1260400.0,1223600.0,1223600.0","RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008"
8907762,m,h,"9113610,8776577,9312799,9534597,8926984","327500.0,332500.0,312500.0,312500.0,332500.0","RFA-DK-13-025,RFA-DK-13-025,RFA-DK-13-025,RFA-DK-13-025,RFA-DK-13-025"
7691839,f,w,"7897769,7691839,7906024,7691402,7692188","360000.0,365000.0,360000.0,365000.0,365000.0","RFA-RM-08-008,RFA-RM-08-008,RFA-RM-08-008,RFA-RM-08-008,RFA-RM-08-008"
7914250,m,w,"8119804,8039980,7895699,7906698,7779416","1152000.0,1120000.0,1152000.0,1152000.0,1152000.0","RFA-AI-07-006,RFA-AI-07-006,RFA-AI-07-006,RFA-AI-07-006,RFA-AI-07-006"
8903741,f,w,"9124625,9332087,8793023,8793022,8793019","9825000.0,9375000.0,9975000.0,9975000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10207339,m,a,"10486103,10486088,10685508,10685466,10685460","1070000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-AA-20-009,RFA-AA-20-009,RFA-AA-20-009,RFA-AA-20-009,RFA-AA-20-009"
10302868,f,w,"8519205,8340905,8516950,8529438,8693396","67500.0,68500.0,67500.0,67500.0,67500.0","RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002"
8070452,m,w,"10172832,9474576,9474096,9476919,9474585","1392000.0,1500000.0,1500000.0,1500000.0,1500000.0","RFA-AI-16-003,RFA-AI-16-003,RFA-AI-16-003,RFA-AI-16-003,RFA-AI-16-003"
9551105,m,w,"9134904,9552275,9015038,9015041,9017203","1310000.0,1250000.0,1330000.0,1330000.0,1330000.0","RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002"
10223141,f,w,"10459874,10459875,10459658,10460076,10602740","1070000.0,1070000.0,1070000.0,1070000.0,1030000.0","RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013"
