APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_w,APPVAL_RECS_bert-xx_r_w,FOA_RECS_bert-xx_r_w
9257399,f,w,"8391026,7840740,7838126,7935432,7932180","959000.0,1022000.0,1022000.0,1008000.0,1008000.0","RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005"
8518235,f,w,"8721323,8526366,8516450,8516454,8381801","1330000.0,1350000.0,1350000.0,1350000.0,1370000.0","RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022"
8318381,m,w,"9055778,8831722,9041666,8651530,8660719","327500.0,332500.0,327500.0,332500.0,332500.0","RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027"
9071539,m,w,"8064565,8064557,8064562,7892940,7892941","360000.0,360000.0,360000.0,360000.0,360000.0","RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040"
8120588,m,w,"8990689,9105753,9323489,9757795,9563295","1463000.0,1441000.0,1375000.0,1353000.0,1375000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"10005938,9228903,9229423,9229287,9228901","984000.0,1048000.0,1048000.0,1048000.0,1048000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"7808560,7807595,7930530,7930575,8284912","1460000.0,1460000.0,1440000.0,1440000.0,1400000.0","RFA-DK-09-001,RFA-DK-09-001,RFA-DK-09-001,RFA-DK-09-001,RFA-DK-09-001"
7691735,f,w,"8390950,8527852,8389411,8870398,9381292","411000.00000000006,405000.0,411000.00000000006,399000.0,399000.0","RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197"
8789173,m,h,"8726388,8726383,8911303,8911824,8402722","53200.0,53200.0,53200.0,53200.0,54800.00000000001","RFA-DK-11-014,RFA-DK-11-014,RFA-DK-11-014,RFA-DK-11-014,RFA-DK-11-014"
9527152,m,a,"9577443,9577979,9702001,9749167,8481549","1875000.0,1875000.0,1845000.0,1845000.0,202500.0","RFA-ES-17-007,RFA-ES-17-007,RFA-ES-17-007,RFA-ES-17-007,RFA-ES-10-009"
10217030,f,w,"9935976,9747383,9623982,10744578,10743669","276750.0,276750.0,281250.0,1030000.0,1030000.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-22-190,RFA-MH-22-190"
10104482,m,a,"8509163,9000120,9213339,8794412,8617223","1012500.0,982500.0,937500.0,997500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8787984,m,w,"10271483,10621300,10653908,10271482,10653904","2088000.0,1854000.0,1854000.0,2088000.0,1854000.0","RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020"
7921782,f,b,"9961650,9747379,9520401,9725777,9327044","553500.0,553500.0,562500.0,553500.0,562500.0","RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010"
9222148,f,w,"8136543,8281601,8690847,8664847,8911400","420000.0,411000.00000000006,399000.0,399000.0,399000.0","RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009"
9674467,m,w,"10137976,9683914,9683916,9683917,9683920","2030000.0,2152500.0,2152500.0,2152500.0,2152500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9273611,m,w,"10570855,10570228,10374385,10375033,10375045","515000.0,515000.0,535000.0,535000.0,535000.0","RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160"
10480740,m,w,"8991539,9307886,9733025,9732317,9730238","418950.0,393750.0,387450.0,387450.0,387450.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"10441453,10377547,9932427,9932426,9932425","802500.0,802500.0,922500.0,922500.0,922500.0","RFA-DK-17-001,RFA-DK-17-001,RFA-DK-17-001,RFA-DK-17-001,RFA-DK-17-001"
10241405,m,w,"7664567,7692225,7690402,8132290,7932753","937320.0,4920200.0,4920200.0,1152000.0,1168000.0","RFA-RM-05-015,RFA-RM-05-016,RFA-RM-05-016,RFA-AR-07-001,RFA-AR-07-001"
8300031,f,w,"8551829,8386770,8732713,8827048,8695510","1644000.0000000002,1644000.0000000002,1596000.0,1596000.0,1596000.0","RFA-NS-12-006,RFA-NS-12-006,RFA-NS-12-006,RFA-NS-12-006,RFA-NS-12-006"
9339325,f,h,"9131679,9325316,9767589,9543234,9117807","1310000.0,1250000.0,1230000.0,1250000.0,1330000.0","RFA-FD-15-039,RFA-FD-15-039,RFA-FD-15-039,RFA-FD-15-039,RFA-FD-15-039"
8814164,m,w,"9820229,9187430,9613203,9608698,9607055","369000.0,375000.0,369000.0,369000.0,369000.0","RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066"
7924122,f,w,"8376725,7670117,7942386,7634745,7670893","411000.00000000006,438000.0,438000.0,438000.0,438000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
9672444,f,h,"10673074,10248371,9377237,9377290,9368929","772500.0,869999.9999999999,937500.0,937500.0,937500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
8672569,m,w,"8092625,7893086,8092637,8092638,7925614","1080000.0,1080000.0,1080000.0,1080000.0,1080000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
9688831,f,w,"9533879,9325030,9329432,9330198,9329447","437500.0,437500.0,437500.0,437500.0,437500.0","RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001"
10374944,m,w,"9532081,9480205,9741041,9697250,8960218","375000.0,375000.0,369000.0,369000.0,399000.0","RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015"
10208856,m,h,"10352461,10211467,10405044,10089077,10256750","214000.0,232000.0,695500.0,799500.0,754000.0","RFA-DE-20-007,RFA-DE-20-007,RFA-DE-20-002,RFA-DE-20-002,RFA-DE-20-002"
