APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_o_w,APPVAL_RECS_biomedbert_o_w,FOA_RECS_biomedbert_o_w
8132845,m,w,"8132847,8132841,8132843,8132844,8132845","2160000.0,2160000.0,2160000.0,2160000.0,2160000.0","RFA-NS-06-003,RFA-NS-06-003,RFA-NS-06-003,RFA-NS-06-003,RFA-NS-06-003"
9561922,m,w,"9976669,9350788,9349118,9350443,9350649","321000.0,375000.0,375000.0,375000.0,375000.0","RFA-RM-16-004,RFA-RM-16-004,RFA-RM-16-004,RFA-RM-16-004,RFA-RM-16-004"
8710052,m,w,"8381575,8540378,8545100,8545116,8547016","4384000.0,4320000.0,4320000.0,4320000.0,4320000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"9258544,9537574,9778965,9532182,9520121","2187500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9552433,m,b,"9736482,10206218,9949758,9949745,10206226","307500.0,267500.0,307500.0,307500.0,267500.0","RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016"
8907762,m,h,"8734915,9344394,8907764,8907762,8907765","399000.0,375000.0,399000.0,399000.0,399000.0","RFA-DK-12-009,RFA-DK-12-009,RFA-DK-12-009,RFA-DK-12-009,RFA-DK-12-009"
7691839,f,w,"8020738,8021062,8149991,8149989,7935905","216000.0,216000.0,210000.0,210000.0,365000.0","RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-021,RFA-RM-08-008"
7914250,m,w,"8523752,7737645,7921619,7934564,7938790","2025000.0,2190000.0,2160000.0,2160000.0,2160000.0","RFA-AI-08-015,RFA-AI-08-015,RFA-AI-08-015,RFA-AI-08-015,RFA-AI-08-015"
8903741,f,w,"9544769,9124626,9544767,8919191,8919187","9375000.0,9825000.0,9375000.0,9975000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10207339,m,a,"9206567,9539177,9544774,9778694,9770533","327500.0,312500.0,312500.0,307500.0,307500.0","RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003"
10302868,f,w,"10690065,10687131,10518786,10518783,10518756","103000.0,103000.0,107000.0,107000.0,107000.0","RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027"
8070452,m,w,"10159209,10159860,10402545,10402544,10189480","290000.0,290000.0,290000.0,290000.0,290000.0","RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002"
9551105,m,w,"9736806,9736813,9736817,9196044,9975944","1230000.0,1230000.0,1230000.0,1310000.0,1230000.0","RFA-NS-16-002,RFA-NS-16-002,RFA-NS-16-002,RFA-NS-16-002,RFA-NS-16-002"
10223141,f,w,"9963120,9696770,10224631,10224632,10224633","1230000.0,1230000.0,1160000.0,1160000.0,1160000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
10573185,m,w,"8335408,8335406,8514609,8514610,8229227","274000.0,274000.0,270000.0,270000.0,280000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9257399,f,w,"7618050,7617795,7617798,7576249,8737348","1460000.0,1460000.0,1460000.0,1460000.0,1350000.0","RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008"
8518235,f,w,"9038249,9263887,8843779,8705846,9117672","196500.0,187500.0,199500.0,199500.0,196500.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-15-019"
