APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_wi,APPVAL_RECS_bert-xx_r_wi,FOA_RECS_bert-xx_r_wi
10116392,f,w,"10304211,9439849,9870928,9882999,10088444","406000.0,437500.0,430500.0,430500.0,406000.0","RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001"
9552433,m,b,"8391950,8919722,8530163,9119535,8784175","1260400.0,1223600.0,1242000.0,1205200.0,1223600.0","RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008"
8907762,m,h,"8508073,8452188,8139107,8139106,8139105","540000.0,540000.0,576000.0,576000.0,576000.0","RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003"
7691839,f,w,"8599512,8147526,8306346,8313990,8322678","945000.0,1008000.0,959000.0,959000.0,959000.0","RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
7914250,m,w,"9734889,10183299,10183288,10183283,10165782","147600.0,139200.0,139200.0,139200.0,139200.0","RFA-HL-17-018,RFA-HL-17-018,RFA-HL-17-018,RFA-HL-17-018,RFA-HL-17-018"
8903741,f,w,"8793021,9332091,8919191,8919187,8919188","9975000.0,9375000.0,9975000.0,9975000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10207339,m,a,"9334672,9768291,9923509,10003103,9544771","250000.0,246000.0,246000.0,246000.0,250000.0","RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002"
10302868,f,w,"10726180,10727942,10722669,10723352,10724784","103000.0,103000.0,103000.0,103000.0,103000.0","RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031"
8070452,m,w,"8070526,7688891,8461115,8461902,8468982","630000.0,657000.0,607500.0,607500.0,607500.0","RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010"
9551105,m,w,"9085433,8936254,9085428,9085430,9085429","327500.0,332500.0,327500.0,327500.0,327500.0","RFA-NS-14-011,RFA-NS-14-011,RFA-NS-14-011,RFA-NS-14-011,RFA-NS-14-011"
10223141,f,w,"9605055,8552185,9828042,9187857,8782594","6436999.59,6960332.890000001,6436999.59,6541666.25,6960332.890000001","RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008"
10573185,m,w,"8599113,8728858,8728236,8904013,8598612","270000.0,266000.0,266000.0,266000.0,270000.0","RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007"
9257399,f,w,"7932180,8391026,7935432,7838126,7840740","1008000.0,959000.0,1008000.0,1022000.0,1022000.0","RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005"
8518235,f,w,"9605055,10175633,9185920,8552185,8554419","6436999.59,6070666.279999999,6541666.25,6960332.890000001,6960332.890000001","RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008"
8318381,m,w,"9042419,8588708,8660719,8651533,9041666","327500.0,342500.0,332500.0,332500.0,327500.0","RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027"
9071539,m,w,"8710281,8337692,8508325,8541855,8541057","665000.0,685000.0,675000.0,675000.0,675000.0","RFA-RM-10-008,RFA-RM-10-008,RFA-RM-10-008,RFA-RM-10-008,RFA-RM-10-008"
8120588,m,w,"9105753,9323489,9757795,9563295,8990689","1441000.0,1375000.0,1353000.0,1375000.0,1463000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"9355676,9228901,9355687,9355660,9356538","1000000.0,1048000.0,1000000.0,1000000.0,1000000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"8054108,7676082,7674783,7676034,7677825","1752000.0,1752000.0,1752000.0,1752000.0,1752000.0","RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069"
7691735,f,w,"8662805,8706933,8517790,8527852,8390950","399000.0,399000.0,405000.0,405000.0,411000.00000000006","RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197"
