APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_r_wi,APPVAL_RECS_distilbert_r_wi,FOA_RECS_distilbert_r_wi
8132845,m,w,"9723226,10005492,9723229,9568048,9566910","369000.0,369000.0,369000.0,375000.0,375000.0","RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011"
9561922,m,w,"9293135,8743311,8867051,8862198,9293133","437500.0,465500.0,465500.0,465500.0,437500.0","RFA-NR-13-002,RFA-NR-13-002,RFA-NR-13-002,RFA-NR-13-002,RFA-NR-13-002"
8710052,m,w,"7692251,8065747,7695547,8716704,8471943","1095000.0,1080000.0,1095000.0,266000.0,270000.0","RFA-CA-08-003,RFA-CA-08-003,RFA-CA-08-003,RFA-CA-12-004,RFA-CA-12-004"
10116392,f,w,"8910704,9068109,8758156,8756564,8913969","199500.0,196500.0,199500.0,199500.0,199500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
9552433,m,b,"9770707,9386846,10234034,10005508,9555076","307500.0,312500.0,290000.0,307500.0,312500.0","RFA-RM-16-012,RFA-RM-16-012,RFA-RM-16-012,RFA-RM-16-012,RFA-RM-16-012"
8907762,m,h,"9735220,9178002,9736305,9534657,9725978","246000.0,262000.0,246000.0,250000.0,246000.0","RFA-DK-15-014,RFA-DK-15-014,RFA-DK-15-014,RFA-DK-15-014,RFA-DK-15-014"
7691839,f,w,"7931855,8523445,8291433,8118202,8118225","360000.0,342500.0,342500.0,350000.0,280000.0","RFA-RM-09-008,RFA-RM-09-008,RFA-RM-09-008,RFA-RM-09-008,RFA-RM-09-009"
7914250,m,w,"8143810,7687500,7687483,7687496,7687445","288000.0,292000.0,292000.0,292000.0,292000.0","RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010"
8903741,f,w,"8919187,9124626,9124623,9124625,8919188","9975000.0,9825000.0,9825000.0,9825000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10207339,m,a,"10534683,10534684,9917263,9917265,9917266","1236000.0,1236000.0,1476000.0,1476000.0,1476000.0","RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003"
10302868,f,w,"9320966,9152898,9154487,9334045,9153169","250000.0,262000.0,262000.0,250000.0,262000.0","RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013"
8070452,m,w,"10008512,10208683,10656300,10449317,8954698","2952000.0,2784000.0,2472000.0,2568000.0,532000.0","RFA-AI-19-041,RFA-AI-19-041,RFA-AI-19-041,RFA-AI-19-041,RFA-AI-14-012"
9551105,m,w,"9568053,9568046,9569732,9568843,9450090","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-NS-17-015,RFA-NS-17-015,RFA-NS-17-015,RFA-NS-17-015,RFA-NS-17-015"
10223141,f,w,"9316526,9316525,8889592,8875608,8910624","3750000.0,3750000.0,3990000.0,3990000.0,3990000.0","RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023"
